  Timestep  Time(ns)   Cell[1]   Cell[2]   Cell[3]   Cell[4]   Cell[5]      Ntot
         1     0.001         3         3         3         3         3        15
         2     0.002         3         3         3         3         3        15
         3     0.003         3         3         3         3         3        15
         4     0.004         3         3         3         3         3        15
         5     0.005         3         3         3         3         3        15
         6     0.006         3         3         3         3         3        15
         7     0.007         3         3         3         3         3        15
         8     0.008         3         3         3         3         3        15
         9     0.009         3         3         3         3         3        15
        10     0.010         3         3         3         3         3        15
        11     0.011         3         3         3         3         3        15
        12     0.012         3         3         3         3         3        15
        13     0.013         3         4         3         3         3        16
        14     0.014         3         4         3         3         3        16
        15     0.015         3         3         3         3         3        15
        16     0.016         3         3         3         3         3        15
        17     0.017         3         3         3         3         3        15
        18     0.018         3         3         3         3         3        15
        19     0.019         3         3         3         3         3        15
        20     0.020         3         3         3         3         3        15
