  Timestep  Time(ns)  flux_x(W/m^2)  flux_y(W/m^2)  flux_z(W/m^2)
         1     0.001     -8.762e+10      2.112e+10     -7.957e+10
         2     0.002     -8.762e+10      2.112e+10     -7.957e+10
         3     0.003     -9.037e+10      3.164e+10     -8.004e+10
         4     0.004     -1.140e+11     -1.296e+10     -7.455e+10
         5     0.005     -1.626e+11      3.967e+10     -1.031e+11
         6     0.006     -6.120e+10     -8.303e+10     -1.044e+11
         7     0.007     -6.120e+10     -8.303e+10     -1.044e+11
         8     0.008     -4.477e+10     -8.647e+10     -7.869e+10
         9     0.009     -1.600e+11      6.738e+10     -1.989e+11
        10     0.010     -1.424e+11      5.018e+10     -6.596e+10
        11     0.011     -1.424e+11      5.018e+10     -6.596e+10
        12     0.012     -1.424e+11      5.018e+10     -6.596e+10
        13     0.013     -1.372e+11      5.915e+10     -5.635e+10
        14     0.014     -1.372e+11      5.915e+10     -5.635e+10
        15     0.015     -1.372e+11     -1.912e+10     -1.149e+10
        16     0.016     -8.897e+10     -4.933e+09     -5.492e+10
        17     0.017     -8.897e+10     -4.933e+09     -5.492e+10
        18     0.018     -1.148e+11     -5.943e+10      9.748e+09
        19     0.019     -1.148e+11     -5.943e+10      9.748e+09
        20     0.020     -1.148e+11     -5.943e+10      9.748e+09
