  Timestep  Time(ns)      kappa_x(W/m/K)       STD      kappa_y(W/m/K)       STD      kappa_z(W/m/K)       STD
         1     0.001                -inf         0                 inf         0                -inf         0
         2     0.002                 inf       nan                 inf       nan                -inf       nan
         3     0.003                 inf       nan                 inf       nan                -inf       nan
         4     0.004                -inf       nan                -inf       nan                -inf       nan
         5     0.005                 inf       nan                 inf       nan                -inf       nan
         6     0.006                -inf       nan                -inf       nan                -inf       nan
         7     0.007                -inf       nan                -inf       nan                -inf       nan
         8     0.008                -inf       nan                -inf       nan                -inf       nan
         9     0.009                 inf       nan                 inf       nan                -inf       nan
        10     0.010                 inf       nan                 inf       nan                -inf       nan
        11     0.011                 inf       nan                 inf       nan                -inf       nan
        12     0.012                 inf       nan                 inf       nan                -inf       nan
        13     0.013                 inf       nan                 inf       nan                -inf       nan
        14     0.014                 inf       nan                 inf       nan                -inf       nan
        15     0.015                -inf       nan                -inf       nan                -inf       nan
        16     0.016                -inf       nan                -inf       nan                -inf       nan
        17     0.017                -inf       nan                -inf       nan                -inf       nan
        18     0.018                -inf       nan                -inf       nan                 inf       nan
        19     0.019                -inf       nan                -inf       nan                 inf       nan
        20     0.020                -inf       nan                -inf       nan                 inf       nan
