  Timestep  Time(ns)   cell[1]   cell[2]   cell[3]   cell[4]   cell[5]
         1     0.001      0.00    327.21    323.17      0.00      0.00
         2     0.002      0.00    327.21    327.87      0.00      0.00
         3     0.003      0.00    327.21    327.87      0.00      0.00
         4     0.004      0.00    327.21    328.18      0.00      0.00
         5     0.005      0.00    327.21    275.48      0.00      0.00
         6     0.006      0.00    327.21    275.57      0.00      0.00
         7     0.007      0.00    327.21    279.82      0.00      0.00
         8     0.008      0.00    327.21    279.82      0.00      0.00
         9     0.009      0.00    344.87    279.82      0.00      0.00
        10     0.010      0.00      0.00    331.33      0.00      0.00
        11     0.011      0.00      0.00    283.85      0.00      0.00
        12     0.012      0.00      0.00    283.85      0.00      0.00
        13     0.013      0.00      0.00    283.85      0.00      0.00
        14     0.014      0.00      0.00    283.85      0.00      0.00
        15     0.015      0.00      0.00    283.85      0.00      0.00
        16     0.016      0.00      0.00    283.85      0.00      0.00
        17     0.017      0.00      0.00    320.51      0.00      0.00
        18     0.018      0.00      0.00    320.51      0.00      0.00
        19     0.019      0.00      0.00      0.00      0.00      0.00
        20     0.020      0.00      0.00      0.00      0.00      0.00
