  Timestep  Time(ns)   cell[1]   cell[2]   cell[3]   cell[4]   cell[5]   cell[6]   cell[7]   cell[8]   cell[9]  cell[10]  cell[11]  cell[12]  cell[13]  cell[14]  cell[15]  cell[16]  cell[17]  cell[18]  cell[19]  cell[20]  cell[21]  cell[22]  cell[23]  cell[24]  cell[25]  cell[26]  cell[27]  cell[28]  cell[29]  cell[30]  cell[31]  cell[32]  cell[33]  cell[34]  cell[35]  cell[36]  cell[37]  cell[38]  cell[39]  cell[40]  cell[41]  cell[42]  cell[43]  cell[44]  cell[45]  cell[46]  cell[47]  cell[48]  cell[49]  cell[50]
         1     0.001    308.26    290.32    290.74    290.19    289.65    289.45    291.23    289.43    289.64    289.02    290.17    289.85    290.29    290.07    289.44    290.17    289.61    290.28    290.17    291.24    290.52    289.67    290.17    290.49    289.00    289.86    290.47    291.59    289.92    289.08    289.44    289.43    289.20    289.83    289.05    290.10    290.88    289.99    288.30    292.25    288.84    289.69    288.79    290.04    289.20    289.44    290.78    290.33    289.65    290.36
         2     0.002    308.26    290.16    291.38    289.78    290.07    289.03    291.19    289.32    290.30    288.68    290.37    290.30    290.69    289.66    289.54    290.39    289.43    290.65    290.04    291.16    289.56    290.22    289.76    289.73    289.26    289.95    290.36    291.76    290.20    288.98    289.45    289.85    289.04    290.06    288.86    290.09    291.01    289.92    288.71    291.94    289.18    289.69    288.86    289.95    289.22    289.62    290.50    289.70    289.95    290.36
         3     0.003    308.26    290.22    291.45    289.49    290.14    288.59    291.30    288.55    290.82    288.67    290.59    289.98    290.82    289.75    289.73    290.35    289.48    290.65    289.46    291.08    289.78    289.79    290.22    290.27    288.80    290.33    290.64    292.22    290.37    289.12    289.81    289.95    289.11    289.97    288.85    289.70    290.48    289.61    288.96    291.41    288.83    289.85    288.89    290.19    289.18    289.70    290.78    289.89    289.92    290.36
         4     0.004    308.26    290.35    290.51    289.22    290.12    288.75    291.21    288.53    290.46    289.11    290.42    290.34    290.47    289.85    289.91    289.57    289.81    289.86    289.57    290.69    289.57    290.29    290.46    290.10    289.07    290.47    290.70    292.17    291.03    288.78    289.80    290.16    289.45    290.17    289.06    289.39    290.24    289.73    289.06    291.00    288.48    290.23    288.61    290.24    289.00    289.61    290.76    289.23    290.04    290.36
         5     0.005    308.26    290.69    290.26    289.30    290.27    289.29    290.97    289.19    290.62    289.22    290.23    290.77    290.21    290.25    289.92    289.44    290.10    289.92    289.97    290.62    289.42    290.10    290.57    290.08    289.23    290.22    290.78    291.92    290.71    288.48    289.96    290.38    288.68    290.27    289.01    289.31    290.64    290.20    289.07    291.00    288.73    289.88    288.50    290.09    289.47    289.42    291.00    288.99    290.63    290.36
         6     0.006    308.26    291.01    290.31    289.28    290.96    289.46    290.69    289.01    290.24    289.00    289.94    290.58    290.50    290.08    290.34    289.23    290.16    289.83    289.99    290.43    290.12    289.70    290.50    289.96    289.69    290.56    290.64    291.92    290.68    288.05    290.04    290.40    288.77    290.37    289.02    289.25    290.24    290.31    288.80    290.86    289.21    289.84    288.37    290.69    289.12    289.35    291.21    288.91    290.98    290.36
         7     0.007    308.26    291.41    290.40    289.23    291.02    289.47    290.53    288.88    290.06    289.06    289.97    289.98    290.14    290.10    290.47    289.34    290.02    290.35    290.31    290.20    290.27    289.62    290.84    289.52    289.85    290.26    290.95    291.52    290.67    288.80    290.28    290.06    289.36    290.45    289.00    289.08    290.45    289.71    288.86    290.85    289.15    290.06    288.62    290.45    289.22    289.02    290.21    288.97    291.13    290.36
         8     0.008    308.26    291.83    290.18    289.62    291.20    289.46    290.12    288.94    289.92    289.49    289.93    290.09    290.11    290.62    290.19    289.52    289.53    290.36    290.25    290.09    289.59    290.10    290.67    290.07    290.31    290.58    291.42    292.09    290.86    289.11    290.35    289.52    289.29    290.60    289.40    288.98    290.12    289.65    289.06    290.91    289.01    290.25    288.97    291.14    289.65    289.36    289.75    288.81    291.22    290.36
         9     0.009    308.26    292.10    290.31    289.72    291.25    289.41    289.79    288.51    289.78    289.96    289.82    290.33    289.97    290.53    290.15    288.97    289.54    290.21    290.52    290.23    289.64    289.63    290.21    289.51    290.84    290.33    291.48    292.30    290.97    288.62    290.23    289.39    289.40    290.76    289.26    289.20    289.89    289.75    288.95    290.43    288.69    290.10    289.27    290.85    289.86    289.66    289.47    288.69    291.05    290.36
        10     0.010    308.26    292.10    290.24    289.54    291.16    289.56    289.19    288.94    289.74    289.77    289.88    290.27    290.12    289.89    290.48    288.80    289.50    289.85    290.47    290.76    289.82    289.50    290.59    289.08    291.17    290.44    291.17    291.97    290.98    288.79    290.27    289.23    288.91    290.76    289.46    289.80    290.32    289.61    289.10    289.87    288.52    290.23    289.24    290.92    289.93    290.00    289.40    288.56    290.92    290.36
        11     0.011    308.26    291.82    290.00    289.52    291.17    289.51    289.78    288.91    289.64    289.75    290.00    289.87    290.51    289.86    290.09    288.66    290.21    289.66    290.02    290.46    290.34    289.68    290.73    288.97    291.10    290.11    291.60    291.83    290.69    288.80    289.94    288.93    288.84    290.58    289.41    289.83    290.25    290.05    289.47    289.86    288.68    290.57    289.18    291.33    290.27    290.33    289.42    288.81    290.94    290.36
        12     0.012    308.26    292.51    290.53    289.25    290.73    289.65    289.94    288.46    290.19    289.78    290.06    289.55    290.76    290.11    289.55    288.39    290.41    289.44    289.71    290.25    290.02    289.84    290.62    289.37    291.03    289.90    291.54    291.80    290.84    289.04    290.13    289.17    288.72    290.43    289.16    289.89    290.64    289.92    289.69    289.82    288.48    290.62    288.63    290.96    290.59    290.27    289.64    289.25    291.42    290.36
        13     0.013    308.26    292.37    291.01    289.57    289.85    289.58    289.46    288.78    290.14    289.63    289.90    289.29    290.64    289.92    289.39    288.05    289.76    289.37    289.67    290.12    290.20    289.87    290.89    289.16    291.17    290.02    291.45    291.38    291.05    289.02    289.98    289.28    288.88    290.08    288.79    290.26    290.38    290.28    288.79    290.04    288.48    290.45    288.91    290.47    291.07    290.17    289.96    289.02    291.54    290.36
        14     0.014    308.26    292.30    290.94    289.84    289.56    289.70    289.78    287.93    289.54    290.18    290.03    288.95    291.08    289.58    290.19    287.56    289.61    289.36    289.55    289.22    290.18    289.97    291.06    288.76    291.43    290.02    291.16    291.38    291.29    288.86    290.17    289.55    288.84    289.87    288.69    289.90    290.38    290.20    288.65    290.40    288.73    290.49    288.30    291.00    290.81    290.32    290.47    289.26    291.71    290.36
